SHEET:Guerreiro N1
1	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão	Guerreiro nível 1 - auditoria de conclusão
91	◐	INT-02	Integração	Bloquear conclusão incompleta	A criação informa todos os campos e escolhas pendentes e não salva um personagem mecanicamente inválido.	Fluxo do Cap. 2	podeAvancarDoPassoAtual(), detalhesEstaoCompletos(), magiasEstaoEscolhidas()	Há bloqueios por etapa, mas opções incompletas ainda podem ser ofertadas e o salvamento não valida o contrato inteiro.
92	◐	INT-03	Integração	Salvar formato canônico	O localStorage recebe uma cópia completa e versionada, sem referências DOM, valores apenas visuais ou campos derivados conflitantes.	Aplicação	salvarPersonagemLocal() usa structuredClone e localStorage	O objeto é completo, mas não possui schemaVersion nem migração.
93	☑	INT-04	Integração	Reabrir personagem sem perda	A ficha salva reproduz exatamente escolhas, números, recursos, avatar, equipamento, talentos, habilidades e magias.	Aplicação	ver-personagem.js; meus-personagens.js; renderizador-ficha.js	Personagens salvos são encontrados por id e renderizados pela ficha compartilhada.
94	◐	INT-05	Integração	Gerar PDF consistente	Campos aplicáveis do PDF recebem os mesmos valores da ficha; ausências são deliberadas e documentadas.	Ficha das pp. 34-35	ver-personagem.js: baixarPdfFichaEditavel() e funções preencher*Pdf	A exportação cobre muitos campos; ainda há lacunas de regras e dados não implementados.
95	◐	INT-06	Integração	Converter para participante de combate	A conversão preserva id, nome, representação, PV, CA, movimento, ataques, recursos, efeitos, talentos, habilidades e magias.	Aplicação	aventuras.js: criarParticipanteJogadorCombate()	PV, CA, ataques, avatar, talentos e habilidades chegam ao combate; movimento e capacidades incompletas ainda divergem.
96	◐	INT-07	Integração	Não duplicar fontes de verdade	Ficha, participante e PDF são projeções do personagem canônico; nenhuma página mantém uma regra concorrente.	Aplicação	ficha-personagem.html + renderizador-ficha.js centralizam a apresentação	Ainda há cálculos repetidos entre criação, visualização/PDF e combate.
97	☐	INT-08	Integração	Persistir consumo de recursos	Gastos de PV, Dados de Vida, espaços, usos e efeitos relevantes retornam ao personagem salvo quando a aventura permitir.	Aplicação	O combate altera a cópia em estadoAtualJogo e não grava os recursos no personagem salvo.	Criar sincronização deliberada ao fim/pausa da aventura.
98	◐	INT-09	Integração	Exibir ações legais no combate	A interface mostra apenas opções disponíveis; opções indisponíveis explicam alcance, recurso ou economia de ação faltante.	Aplicação	interface-combate.js e aventuras.js renderizam ações e indisponibilidade por alcance	Ataques e Segundo Fôlego funcionam; faltam todas as ações e explicações do MVP.
99	◐	INT-10	Integração	Manter explicações acessíveis	Habilidades, talentos, traços, propriedades, maestrias e magias abrem uma explicação consistente em todas as instâncias da ficha.	Aplicação	Modal de detalhe e renderizador-ficha.js	Habilidades, talentos e maestrias têm explicações em algumas páginas, mas não de forma uniforme para espécies, propriedades e magias.
100	◐	QA-01	Critérios finais	Testar caminho feliz completo	Uma criação do início ao fim salva, reabre, exporta e entra em combate sem erro no console.	Teste do produto	Fluxos manuais já exercitados: criação, ficha, aventura, iniciativa, ataques, dano e fim de combate.	Falta repetir com cada classe completa e sem opções provisórias.
101	◐	QA-02	Critérios finais	Testar retorno e cancelamento	Voltar etapas e cancelar todas as modais preserva o estado confirmado e remove apenas prévias.	Teste do produto	Modais de classe, antecedente e avatar mantêm estados temporários.	Falta uma matriz de testes para todas as etapas e cancelamentos.
102	◐	QA-03	Critérios finais	Testar troca de escolhas	Trocar classe, antecedente, espécie, atributos, equipamento e capacidades não deixa dados órfãos.	Teste do produto	Há limpeza de escolhas ao trocar etapas e classe.	Falta testar todas as combinações e dados órfãos.
103	◐	QA-04	Critérios finais	Testar limites numéricos	São verificados mínimo, máximo, zero usos, bônus negativos, limite 20, alcance exato e insuficiente.	Teste do produto	Validações de quantidade, duplicatas, alcance e recursos existem em pontos específicos.	Faltam casos-limite sistemáticos e limite 20 explícito.
104	☐	QA-05	Critérios finais	Testar cada opção ofertada	Cada item visível nos seletores possui ao menos um teste de criação e um teste mecânico quando produz efeito.	Teste do produto	Não existe cobertura por opção ofertada.	Criar roteiro de teste para cada opção antes de marcá-la completa.
105	☐	QA-06	Critérios finais	Testar combinações representativas	Combinações de classe, antecedente, espécie, talento e equipamento cobrem interações e possíveis conflitos.	Teste do produto	Não existe matriz de combinações representativas.	Definir combinações mínimas por classe, antecedente, espécie e equipamento.
106	◐	QA-07	Critérios finais	Testar recursos e recargas	Cada recurso é consumido, bloqueado, recarregado e persistido nos momentos corretos.	Teste do produto	Segundo Fôlego e Atacante Selvagem foram testados manualmente.	Faltam descanso, persistência e todos os demais recursos.
107	◐	QA-08	Critérios finais	Testar ações e efeitos	Ação, ação bônus, reação, movimento, alvo, alcance, duração, condição e concentração são exercitados quando aplicáveis.	Teste do produto	Movimento, ação, ação bônus, alvo e alcance foram exercitados.	Faltam reação, concentração, duração e condições.
108	◐	QA-09	Critérios finais	Testar ficha nas três instâncias	Criação, Ver personagem e Aventura/combate exibem a mesma informação e o mesmo comportamento explicativo.	Teste do produto	Ficha compartilhada funciona na criação, Ver personagem e Aventura.	Falta paridade completa das explicações e teste de todas as seções.
109	◐	QA-10	Critérios finais	Validar HTML e JavaScript	Validação HTML e checagem de sintaxe passam; não há erros, referências indefinidas ou recursos 404 no console.	Qualidade técnica	node --check passou nos 34 arquivos JavaScript; HTML foi validado anteriormente.	Ainda falta um teste de navegador sem erros, referências indefinidas ou 404.
110	◐	QA-11	Critérios finais	Revisar texto neutro	Textos criativos evitam marcação desnecessária de gênero e mantêm terminologia consistente.	Diretriz do produto	Há intenção editorial de texto neutro e vários textos já seguem a diretriz.	Persistem erros de revisão e termos/textos que precisam de uma rodada editorial completa.
111	☑	QA-12	Critérios finais	Exigir evidência antes do check	Um item só recebe ☑ quando banco, interface, regra, persistência e teste aplicáveis estiverem comprovados.	Governança da checklist	Esta auditoria só marcou conclusão com evidência de banco, interface, regra e persistência aplicáveis.	Manter o mesmo padrão nas próximas atualizações.
112								
113								
114								
SHEET:Ladino N1
1	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão	Ladino nível 1 - auditoria de conclusão
2	Progresso	0.39	Concluídos	39	Parciais	47	Pendentes	14
3	Auditoria conservadora de 2026-08-03: ☑ completo | ◐ parcialmente funcional | ☐ pendente | N/A fora do recorte. Evidências apontam para o código local no commit 39d58ce.							
4								
5								
6	Status	ID	Etapa	Item de conclusão	Critério de aceitação	Fonte	Evidência	Observações
7	◐	ESC-01	Escopo	Fixar a versão das regras	O projeto declara D&D 2024 como referência e não mistura regras de 2014 sem uma regra explícita de compatibilidade.	Cap. 2, pp. 33-47	Bancos e textos seguem a edição 2024; falta declarar e versionar esse contrato no estado salvo.	Formalizar rulesVersion e política de compatibilidade.
8	◐	ESC-02	Escopo	Fixar o recorte de opções do MVP	Classes, antecedentes, espécies, talentos, equipamentos, maestrias e magias disponíveis estão enumerados e nenhuma opção incompleta é oferecida.	Cap. 2, p. 33	banco-classes.js, banco-antecedentes.js, banco-especies.js, banco-talentos.js, banco-magias.js	Há opções ofertadas ainda incompletas, especialmente Mago, espécies, talentos e magias.
9	◐	ESC-03	Escopo	Definir o contrato de personagem nível 1	Existe um formato único para dados de criação, ficha salva, aventura, combate e PDF, com versão de esquema.	Cap. 2, pp. 34-35	criacao-personagem.js: objeto personagem; renderizador-ficha.js; aventuras.js	Existe estado central e projeções, mas não há schemaVersion e ainda existem cálculos duplicados.
10	☑	ESC-04	Escopo	Separar regras obrigatórias e elementos opcionais	Trinket, perguntas narrativas e sugestões não bloqueiam a criação; campos exigidos pelas regras bloqueiam quando ausentes.	Cap. 2, pp. 36-47	criacao-personagem.js: podeAvancarDoPassoAtual(), detalhesEstaoCompletos()	Campos narrativos opcionais não bloqueiam; escolhas mecânicas exigidas são validadas.
11	☑	ESC-05	Escopo	Distinguir criação de progressão	Progressão, níveis superiores e multiclasse ficam fora desta checklist e não são exigidos para concluir nível 1.	Cap. 2, pp. 41-45	banco-habilidades.js: progressaoClasses.nivel1; banco-magias.js: progressaoMagias.nivel1	O fluxo atual está delimitado ao nível 1.
12	☑	CLA-01	1. Classe	Selecionar uma classe disponível	A escolha salva id e nome canônicos e atualiza imediatamente a ficha sem perder escolhas compatíveis.	Cap. 2, p. 33; Cap. 3	banco-classes.js: ladino; selecionarClasse()	Classe selecionável e persistida.
13	◐	CLA-02	1. Classe	Registrar nível inicial	O personagem nasce no nível 1, com nível total e nível de classe consistentes.	Cap. 2, p. 36	Fluxo fixado no nível 1.	Falta salvar nivel e niveisPorClasse.
14	☐	CLA-03	1. Classe	Registrar XP inicial	O personagem nasce com 0 XP e o valor é salvo e exibido onde aplicável.	Cap. 2, p. 36	O personagem salvo não possui XP.	Adicionar xp: 0.
15	☑	CLA-04	1. Classe	Registrar atributo primário	O atributo ou alternativas de atributo primário da classe estão cadastrados e informados ao jogador.	Cap. 2, p. 33; Cap. 3	ladino.habilidadePrimaria	Destreza cadastrada.
16	☑	CLA-05	1. Classe	Aplicar bônus de proficiência	No nível 1, o bônus é +2 e todos os cálculos dependentes usam a mesma função.	Cap. 2, p. 36	calcularBonusProficiencia()	+2 aplicado aos cálculos atuais.
17	◐	CLA-06	1. Classe	Aplicar treinamento com armaduras	Todas as categorias concedidas pela classe são salvas, exibidas e respeitadas pelo cálculo e validação de equipamento.	Cap. 2, p. 36; Caps. 3 e 6	Ladino possui armaduras leves cadastradas.	Falta validação geral de treinamento.
18	☑	CLA-07	1. Classe	Aplicar proficiências com armas	Categorias e armas específicas concedidas pela classe são salvas e usadas no bônus de ataque.	Cap. 2, p. 36; Caps. 3 e 6	Armas simples e espada curta cadastradas; bônus de ataque reconhece proficiência.	Funciona para o conjunto atual.
19	☑	CLA-08	1. Classe	Aplicar proficiências com ferramentas	Ferramentas concedidas pela classe são salvas sem duplicar proficiências da origem.	Cap. 2, p. 36; Cap. 3	ladino.proficiencias.ferramentas	Ferramentas de ladrão são salvas e exibidas.
20	☑	CLA-09	1. Classe	Aplicar salvaguardas da classe	As duas salvaguardas corretas recebem proficiência; as demais usam apenas o modificador do atributo.	Cap. 2, pp. 36 e 40; Cap. 3	ladino.salvaguardas	Destreza e Inteligência são marcadas.
21	☑	CLA-10	1. Classe	Oferecer perícias da classe	A lista, quantidade, proibições e combinações legais são respeitadas e não geram duplicatas com o antecedente.	Cap. 2, pp. 36 e 40; Cap. 3	ladino.pericias; montarTelaPericiasClasse()	Escolhe quatro sem duplicatas.
22	◐	CLA-11	1. Classe	Cadastrar todas as características de nível 1	Nenhuma característica de nível 1 da classe está ausente, resumida como texto sem efeito ou disponível para a classe errada.	Cap. 2, p. 40; Cap. 3	Ataque Furtivo, Especialização, Gíria de Ladrão e Maestria aparecem.	Ataque Furtivo e maestrias não estão mecanicamente completos.
23	◐	CLA-12	1. Classe	Implementar escolhas internas das características	Toda característica que oferece escolhas apresenta somente opções legais, exige a quantidade correta e salva ids canônicos.	Cap. 2, p. 40; Cap. 3	Especializações e maestrias são selecionáveis.	Faltam efeitos completos e validação de todas as interações.
24	N/A	CLA-13	1. Classe	Implementar recursos e recargas	Usos máximos, usos atuais, consumo, bloqueio sem usos e recarga curta, longa ou por turno seguem a regra de cada característica.	Cap. 3	As características de nível 1 cadastradas não usam reserva própria de usos.	Recursos de talentos são avaliados separadamente.
25	◐	CLA-14	1. Classe	Explicar características	Nome, origem, resumo e regra mecânica de cada característica podem ser consultados na criação, ficha salva e aventura.	Cap. 2, p. 40; Cap. 3	Habilidades aparecem na ficha e possuem descrições.	Explicações ainda não são consistentes em todas as instâncias.
26	◐	CLA-15	1. Classe	Remover escolhas incompatíveis ao trocar de classe	Trocar de classe limpa apenas perícias, características, recursos, magias e equipamentos que deixaram de ser válidos.	Derivado do fluxo do Cap. 2	Há limpeza de especializações inválidas e remontagem das escolhas.	Falta teste completo de troca de classe.
27	☑	ORI-01	2. Origem	Selecionar um antecedente disponível	A escolha salva id e nome canônicos e nenhuma opção incompleta aparece na interface.	Cap. 2, p. 36; Cap. 4	banco-antecedentes.js; criacao-personagem.js: abrirModalAntecedente(), confirmarAntecedenteTemporario()	Os quatro antecedentes existentes podem ser escolhidos e persistidos.
28	☑	ORI-02	2. Origem	Aplicar três atributos permitidos pelo antecedente	Somente os três atributos cadastrados para o antecedente podem receber seus aumentos.	Cap. 2, pp. 36 e 38; Cap. 4	banco-antecedentes.js: atributos.opcoes; criarSeletoresBonusAntecedente()	A interface limita as escolhas aos três atributos do antecedente.
29	☑	ORI-03	2. Origem	Oferecer as duas distribuições legais	É possível escolher +2/+1 em atributos diferentes ou +1/+1/+1 nos três atributos.	Cap. 2, p. 38	banco-antecedentes.js: distribuicoesPermitidas; exibirEtapaAtributosAntecedente()	As distribuições +2/+1 e +1/+1/+1 estão cadastradas e selecionáveis.
30	◐	ORI-04	2. Origem	Impedir atributo acima de 20	A aplicação dos bônus nunca eleva um atributo acima de 20 e informa a razão quando uma escolha é inválida.	Cap. 2, p. 38	recalcularAtributosFinais()	O fluxo atual não ultrapassa 20 com a geração existente, mas falta uma validação explícita reutilizável.
31	☑	ORI-05	2. Origem	Aplicar duas perícias do antecedente	As duas perícias corretas são salvas, marcadas e combinadas sem duplicatas com a classe.	Cap. 2, p. 36; Cap. 4	banco-antecedentes.js: proficiencias.pericias; atualizarPericiasPersonagem()	Perícias de classe e antecedente são unidas sem duplicatas.
32	◐	ORI-06	2. Origem	Aplicar uma ferramenta do antecedente	A proficiência ou maestria correta é salva, exibida e reconhecida pelos testes que a utilizarem.	Cap. 2, p. 36; Cap. 4	banco-antecedentes.js: proficiencias.ferramentas; personagem.ferramentas	A proficiência é salva, mas ainda não participa de testes com ferramentas.
33	◐	ORI-07	2. Origem	Conceder o talento de origem	O talento correto é salvo com origem, configurações internas e efeitos, não apenas como texto na ficha.	Cap. 2, p. 36; Caps. 4 e 5	banco-talentos.js; personagem.talentos; motor-efeitos.js	O talento é concedido e exibido; somente parte dos efeitos está operacional.
34	☐	ORI-08	2. Origem	Implementar todas as escolhas do talento	Atributo de conjuração, proficiências, magias ou outras escolhas do talento são solicitadas, validadas e persistidas.	Caps. 4 e 5	banco-talentos.js: Iniciado em Magia declara escolha futura	Faltam as escolhas e efeitos completos de Iniciado em Magia, Alerta e demais talentos ofertados.
35	☑	ORI-09	2. Origem	Aplicar equipamento inicial do antecedente	Todas as alternativas legais entregam itens, quantidades e moedas corretos, sem duplicação.	Cap. 2, p. 36; Caps. 4 e 6	banco-antecedentes.js: equipamento.opcoes; selecionarAntecedente()	Itens, quantidades e moedas das opções existentes são aplicados sem repetir o ouro.
36	N/A	ORI-10	2. Origem	Permitir gasto imediato de moedas quando suportado	Se a compra inicial estiver no MVP, saldo e inventário são atualizados; caso contrário, a limitação está declarada.	Cap. 2, p. 36	Compra com moedas não faz parte do recorte atual do MVP.	Não bloqueia a criação de nível 1.
37	☑	ORI-11	2. Origem	Selecionar uma espécie disponível	A escolha salva id e nome canônicos e nenhuma espécie incompleta aparece.	Cap. 2, p. 37; Cap. 4	banco-especies.js; selecionarEspecie()	As quatro espécies atualmente ofertadas são selecionadas por id canônico.
38	◐	ORI-12	2. Origem	Aplicar tamanho da espécie	O tamanho correto ou a escolha entre tamanhos é salvo, exibido e utilizado pelas regras pertinentes.	Cap. 2, p. 37; Cap. 4	banco-especies.js: tamanho; renderizador-ficha.js	O tamanho é exibido, mas seus efeitos mecânicos e escolhas de tamanho ainda não existem.
39	◐	ORI-13	2. Origem	Aplicar deslocamento da espécie	O deslocamento correto é salvo, exibido e convertido para células de combate sem arredondamento indevido.	Cap. 2, p. 37; Cap. 4	banco-especies.js: velocidade; combate.js usa movimentoMaximo padrão	A ficha exibe a velocidade, mas o combate ainda usa 6 células por padrão sem conversão canônica.
40	☐	ORI-14	2. Origem	Implementar todos os traços da espécie	Traços passivos, escolhas, sentidos, resistências, magias e usos são dados estruturados e funcionam onde se aplicam.	Cap. 2, p. 37; Cap. 4	banco-especies.js contém somente nome, tamanho, velocidade e idiomas.	Faltam todos os traços mecânicos das espécies.
41	☑	ORI-15	2. Origem	Aplicar Comum e duas línguas padrão	O personagem conhece Comum e escolhe duas línguas padrão diferentes, salvo substituição explícita de uma característica.	Cap. 2, p. 37	personagem.idiomasBase; preencherSelectIdioma(); atualizarIdiomasEscolhidos()	Comum e duas línguas padrão diferentes são exigidos.
42	☑	ORI-16	2. Origem	Restringir línguas raras	Línguas raras só podem ser escolhidas quando uma característica concede essa possibilidade.	Cap. 2, p. 37	banco-idiomas.js: tipo; preencherSelectIdioma()	A seleção normal filtra idiomas raros.
43	☑	ORI-17	2. Origem	Combinar idiomas adicionais	Idiomas de classe, espécie, antecedente, talento ou habilidade são unidos sem duplicatas e com origem rastreável.	Cap. 2, p. 37	atualizarIdiomasPersonagem()	As listas por origem são unidas sem duplicatas e permanecem separadas no estado.
44	N/A	ORI-18	2. Origem	Oferecer bugiganga como opção não bloqueante	Se implementada, uma bugiganga gratuita pode ser escolhida ou sorteada; sua ausência não impede concluir o personagem.	Cap. 2, pp. 36 e 46-47	Bugiganga não foi incluída no recorte atual e é opcional.	Não bloqueia a conclusão.
45	☐	ATR-01	3. Atributos	Oferecer matriz padrão	A opção usa exatamente 15, 14, 13, 12, 10 e 8, cada valor uma vez.	Cap. 2, p. 38	A interface atual oferece somente rolagem.	Implementar Matriz Padrão 15, 14, 13, 12, 10 e 8.
46	☑	ATR-02	3. Atributos	Oferecer geração aleatória	Cada valor é 4d6 descartando o menor, repetido seis vezes, com resultados visíveis e não manipulados.	Cap. 2, p. 38	rolarD6(), resultadoAtributo(), dadosRolando()	Rola 4d6, descarta o menor e produz seis resultados visíveis.
47	☐	ATR-03	3. Atributos	Oferecer compra por pontos	São disponibilizados 27 pontos; valores de 8 a 15 usam os custos oficiais e não permitem saldo negativo.	Cap. 2, p. 38	Não há compra por pontos na interface atual.	Implementar 27 pontos e a tabela de custos.
48	☐	ATR-04	3. Atributos	Permitir escolher o método	O método permitido para o MVP é escolhido antes da distribuição e trocar de método limpa os dados incompatíveis.	Cap. 2, p. 38	criacao-personagem.html oferece apenas o botão Rolar Dados.	Criar seleção entre os três métodos e limpeza segura ao trocar.
49	☑	ATR-05	3. Atributos	Distribuir seis valores uma única vez	Força, Destreza, Constituição, Inteligência, Sabedoria e Carisma recebem exatamente um valor cada.	Cap. 2, p. 38	selecionarAtributo(), atualizarOpcoesDisponiveis(), atributosEstaoCompletos()	Cada resultado é usado uma vez e os seis atributos são obrigatórios.
50	N/A	ATR-06	3. Atributos	Sugerir distribuição da classe sem impor	A interface pode sugerir a matriz por classe, mas permite qualquer distribuição legal.	Cap. 2, p. 38	Sugestão automática de distribuição é opcional.	Pode ser acrescentada futuramente como melhoria de UX.
51	☑	ATR-07	3. Atributos	Aplicar bônus do antecedente depois da base	Atributos base e aumentos de antecedente permanecem separados no estado e geram o valor final correto.	Cap. 2, p. 38	atributosBase, bonusAtributosAntecedente, recalcularAtributosFinais()	Base, bônus e total são armazenados separadamente.
52	☑	ATR-08	3. Atributos	Calcular todos os modificadores	Cada modificador usa piso de (valor - 10) / 2 e é recalculado quando o valor muda.	Cap. 2, p. 38	calcularModificador(), renderizador-ficha.js	A fórmula usa Math.floor e é reaplicada ao atualizar a ficha.
53	◐	ATR-09	3. Atributos	Atualizar dependências de atributos	Salvaguardas, perícias, percepção passiva, PV, iniciativa, CA, ataques, dano e conjuração são recalculados.	Cap. 2, pp. 40-41	atualizarValoresDerivados(), atualizarNumerosMagiasPersonagem(), atualizarFichaPersonagem()	A maioria dos derivados recalcula; faltam efeitos de espécie, talentos e outras precedências.
54	☑	ATR-10	3. Atributos	Preservar atributos ao navegar	Avançar, voltar, abrir modal e cancelar não perde a distribuição confirmada.	Derivado do fluxo do Cap. 2	Estado personagem e prévias temporárias das modais em criacao-personagem.js	Navegação e cancelamento preservam escolhas confirmadas.
55	◐	DET-01	5. Detalhes	Registrar todas as características de nível 1	A ficha lista todas as características da classe e suas escolhas confirmadas.	Cap. 2, p. 40	Características são registradas e exibidas.	Ataque Furtivo e maestrias ainda não produzem todos os efeitos.
56	☑	DET-02	5. Detalhes	Calcular salvaguardas proficientes	Modificador do atributo mais +2; salvaguardas não proficientes usam apenas o modificador.	Cap. 2, p. 40	calcularValorSalvaguarda(); renderizador-ficha.js: atualizarMarcadores()	Salvaguardas proficientes recebem +2 e as demais usam o modificador.
57	☑	DET-03	5. Detalhes	Calcular todas as perícias	Cada perícia usa o atributo correto, proficiência quando aplicável e especialização dobrando apenas o bônus de proficiência.	Cap. 2, p. 40	calcularValorPericia(); personagemTemEspecializacaoEmPericia()	Atributo, proficiência e especialização são calculados separadamente.
58	☑	DET-04	5. Detalhes	Calcular Percepção Passiva	O valor é 10 mais o modificador total de Sabedoria (Percepção), incluindo todos os modificadores aplicáveis.	Cap. 2, p. 40	calcularPercepcaoPassiva(); renderizador-ficha.js	Percepção passiva parte de 10 e usa o bônus total de Percepção.
59	☑	DET-05	5. Detalhes	Calcular PV máximos de nível 1	O máximo usa o valor cheio do Dado de Vida da classe mais o modificador de Constituição.	Cap. 2, p. 40	atualizarPontosDeVida()	PV máximo usa o Dado de Vida cheio mais Constituição.
60	☑	DET-06	5. Detalhes	Inicializar PV atuais e temporários	PV atuais começam no máximo, PV temporários em 0 e os campos são independentes.	Cap. 2, pp. 40-41	personagem.combate.pontosDeVida; atualizarPontosDeVida()	Atuais começam no máximo e temporários em zero.
61	☐	DET-07	5. Detalhes	Registrar salvaguardas contra morte	A ficha e o estado comportam três sucessos e três falhas, ainda que o fluxo de morte seja implementado em etapa posterior.	Cap. 2, p. 40	Não existe estado canônico para sucessos e falhas contra morte.	Criar estrutura e integração da ficha.
62	◐	DET-08	5. Detalhes	Registrar Dado de Vida	No nível 1 existe exatamente um Dado de Vida do tipo da classe, com máximo e quantidade gasta separados.	Cap. 2, p. 41	personagem.combate.pontosDeVida.dadoVida e dadosVidaUsados	O dado é salvo, mas gasto, descanso e recuperação ainda não estão completos.
63	◐	DET-09	5. Detalhes	Calcular iniciativa	A iniciativa base usa o modificador de Destreza e incorpora efeitos que alterem iniciativa.	Cap. 2, p. 41	atualizarIniciativa(); combate.js: iniciativa	Destreza funciona; Alerta e outros modificadores de iniciativa ainda não.
64	☑	DET-10	5. Detalhes	Calcular CA sem armadura	A CA base é 10 + Destreza quando nenhuma armadura, escudo ou fórmula alternativa é usada.	Cap. 2, p. 41	calcularClasseArmaduraCriacao(); calcularClasseArmadura()	A fórmula sem armadura usa 10 + Destreza.
65	◐	DET-11	5. Detalhes	Calcular CA com armadura e escudo	Armadura, limite de Destreza, escudo, proficiência e efeitos de classe produzem o valor correto sem empilhar fórmulas alternativas.	Cap. 2, p. 41; Cap. 6	calcularClasseArmaduraCriacao(); banco-equipamentos.js	Armadura e escudo funcionam para o conjunto atual; faltam todas as armaduras, limites e efeitos alternativos.
66	☑	DET-12	5. Detalhes	Cadastrar ataques iniciais	Todas as armas equipadas aparecem com nome, alcance, propriedades, maestria, bônus de ataque, dano e tipo.	Cap. 2, p. 41; Cap. 6	obterResumoArma(); criarAtaqueCombateArma(); renderizador-ficha.js	As armas equipadas atuais geram resumo e ataque de combate.
67	☑	DET-13	5. Detalhes	Calcular ataques corpo a corpo	Ataques corpo a corpo usam Força + proficiência, salvo propriedade ou característica que determine outro atributo.	Cap. 2, p. 41; Cap. 6	obterAtributoAtaqueDaArma(); calcularBonusAtaqueArma()	Ataques corpo a corpo usam o atributo e a proficiência adequados.
68	☑	DET-14	5. Detalhes	Calcular ataques à distância	Ataques à distância usam Destreza + proficiência e tratam alcance normal e longo corretamente.	Cap. 2, p. 41; Cap. 6	banco-equipamentos.js; calcularBonusAtaqueArma(); combate.js: validarSelecaoAcao()	Ataques à distância usam Destreza e validam alcance cadastrado.
69	◐	DET-15	5. Detalhes	Calcular dano das armas	O dano usa dado, tipo e mesmo atributo do ataque quando a regra manda, com exceções e estilos aplicados uma vez.	Cap. 2, p. 41; Cap. 6	calcularBonusDanoArma(); formatarDanoArma(); criarAtaqueCombateArma()	O dano básico e estilos atuais funcionam; faltam exceções e o conjunto completo de armas/maestrias.
70	◐	DET-16	5. Detalhes	Calcular CD de magia	CD = 8 + modificador do atributo de conjuração + bônus de proficiência, conforme a origem de cada magia.	Cap. 2, p. 41; Cap. 7	Fórmulas existem para Iniciado em Magia.	O talento ainda não completa escolhas/origem.
71	◐	DET-17	5. Detalhes	Calcular ataque mágico	Ataque mágico = modificador do atributo de conjuração + bônus de proficiência.	Cap. 2, p. 41; Cap. 7	Fórmulas existem para Iniciado em Magia.	O talento ainda não completa escolhas/origem.
72	☐	DET-18	5. Detalhes	Registrar espaços de magia	Total, gastos e nível dos espaços são separados e seguem a característica que concedeu conjuração.	Cap. 2, p. 41; Caps. 3, 5 e 7	Espaços de Iniciado em Magia incompletos.	Implementar recurso e recuperação do talento.
73	☐	DET-19	5. Detalhes	Selecionar truques e magias preparadas	Quantidade, lista permitida, nível, duplicatas e origem são validados; escolhas persistem.	Cap. 2, p. 41; Caps. 3, 5 e 7	Iniciado em Magia incompleto.	Implementar seleção por origem.
74	☑	DET-20	5. Detalhes	Registrar nome	Nome é obrigatório para concluir, aparece na ficha e identifica o personagem sem ser usado como id técnico.	Cap. 2, p. 41	detalhesEstaoCompletos(); salvarPersonagemLocal()	Nome é obrigatório e id técnico é gerado separadamente.
75	☑	DET-21	5. Detalhes	Registrar aparência e avatar	Aparência textual, avatar e frame podem ser escolhidos, visualizados, salvos e usados como token.	Cap. 2, pp. 38 e 41	Modal de avatar; renderizador-ficha.js: preencherAvatar(); aventuras.js	Avatar e frame têm prévia, persistem e são reutilizados como token.
76	☑	DET-22	5. Detalhes	Registrar história e personalidade	Campos narrativos aceitam texto, preservam parágrafos e não exigem linguagem marcada por gênero.	Cap. 2, pp. 38-41	personagem.detalhes.historia e personalidade; revisão e PDF	Campos narrativos são opcionais e persistidos.
77	N/A	DET-23	5. Detalhes	Registrar detalhes finais opcionais	Gênero, vínculos, medo e objetivo podem ser registrados sem bloquear a criação quando omitidos.	Cap. 2, p. 41	Detalhes narrativos adicionais não fazem parte do recorte atual.	Não bloqueiam a criação.
78	◐	REG-01	Regras transversais	Estruturar toda regra como dado	Classe, espécie, antecedente, talento, habilidade, arma, maestria e magia possuem id, origem e dados mecânicos consultáveis.	Caps. 3-7	Bancos separados com ids; banco-efeitos.js e motor-efeitos.js	A arquitetura existe, mas várias entradas ainda são apenas descritivas ou não rastreiam origem.
79	◐	REG-02	Regras transversais	Implementar efeitos passivos	Bônus permanentes entram nos cálculos corretos, não exigem botão e não são aplicados duas vezes.	Caps. 3-7	Cálculos de proficiência, CA, ataques e estilos de luta	Alguns passivos funcionam; traços de espécie, talentos e magias ainda não.
80	◐	REG-03	Regras transversais	Implementar efeitos ativáveis	A opção só aparece quando legal e informa custo, alvo, alcance, efeito, duração, usos e recarga.	Caps. 3-7	banco-efeitos.js; interface-combate.js; Segundo Fôlego	Há ação ativável piloto, mas o contrato ainda não cobre todas as capacidades.
81	◐	REG-04	Regras transversais	Implementar economia de ações	Movimento, ação, ação bônus, reação e ação livre são consumidos e restaurados no momento correto.	Caps. 1 e 3-7	combate.js: movimentoRestante, acaoDisponivel, acaoBonusDisponivel	Movimento, ação e ação bônus funcionam; reação e ação livre ainda não estão completas.
